account_id,customer_id,product_type,original_balance,current_balance,interest_rate_band,fees_accrued,days_past_due,loan_tenure_months,legal_stage,region_id
A10696,C0571,Personal Loan,58130,478445,Low,15633,60,48,Pre-Legal,R01
A10697,C0571,Personal Loan,216511,452090,Low,7066,60,24,Legal,R03
A10698,C0572,Credit Card,51139,208175,Low,8602,120,24,Legal,R01
A10699,C0573,Credit Card,364199,475777,Low,5867,180,12,Pre-Legal,R01
A10700,C0574,Personal Loan,64588,216657,Medium,21011,180,36,Legal,R02
A10701,C0575,Credit Card,100291,81008,Low,14190,60,36,Pre-Legal,R03
A10702,C0576,Personal Loan,213073,207796,High,5885,120,12,Pre-Legal,R03
A10703,C0576,Telecom,31002,444369,High,2927,60,36,Legal,R01
A10704,C0577,Credit Card,173520,300672,High,684,240,24,Pre-Legal,R02
A10705,C0578,Personal Loan,209281,131775,Low,13749,180,12,Legal,R01
A10706,C0579,Personal Loan,364441,402243,High,13914,60,24,Pre-Legal,R01
A10707,C0579,Personal Loan,149817,95520,Low,11282,30,36,Charged-Off,R01
A10708,C0580,Personal Loan,242869,321505,Medium,6018,60,60,Charged-Off,R02
A10709,C0581,Credit Card,167745,300539,Low,24207,120,36,Pre-Legal,R01
A10710,C0582,Credit Card,279188,260340,High,12557,180,48,Pre-Legal,R02
A10711,C0583,Telecom,120020,122508,High,17501,60,36,Legal,R03
A10712,C0584,Personal Loan,65076,325546,High,15301,180,12,Legal,R02
A10713,C0585,Personal Loan,472400,397784,Medium,2471,180,12,Pre-Legal,R03
A10714,C0586,Credit Card,163775,64456,Medium,5408,60,60,Pre-Legal,R03
A10715,C0587,Telecom,45909,59158,Low,22069,120,60,Pre-Legal,R03
A10716,C0587,Personal Loan,168530,102367,Medium,9283,120,24,Pre-Legal,R03
A10717,C0588,Personal Loan,160111,29990,High,14278,240,24,Pre-Legal,R01
A10718,C0588,Telecom,371595,132782,Low,5500,240,48,Legal,R01
A10719,C0589,Telecom,359899,345927,Medium,6972,180,12,Legal,R03
A10720,C0589,Credit Card,166626,22008,High,16738,30,24,Pre-Legal,R01
A10721,C0590,Credit Card,239606,463173,High,4855,120,60,Legal,R01
A10722,C0591,Personal Loan,159333,150546,Medium,17138,60,48,Pre-Legal,R02
A10723,C0592,Credit Card,153107,115271,Medium,20067,60,36,Pre-Legal,R03
A10724,C0593,Telecom,59726,221823,High,24730,30,24,Pre-Legal,R02
A10725,C0594,Personal Loan,402617,298142,Medium,6689,30,12,Pre-Legal,R02
A10726,C0594,Personal Loan,87173,226278,Medium,5170,30,48,Pre-Legal,R02
A10727,C0595,Telecom,432126,71959,High,16147,240,48,Pre-Legal,R01
A10728,C0596,Personal Loan,302570,456413,Low,756,30,60,Pre-Legal,R03
A10729,C0597,Credit Card,376961,335404,Medium,13443,60,60,Pre-Legal,R01
A10730,C0598,Credit Card,417152,179238,Low,3495,120,48,Pre-Legal,R03
A10731,C0599,Telecom,347840,292792,High,4404,120,24,Pre-Legal,R03
A10732,C0600,Credit Card,212136,232872,Low,8320,30,48,Pre-Legal,R03
A10733,C0601,Credit Card,101673,66940,Medium,2269,180,36,Charged-Off,R02
A10734,C0602,Credit Card,413005,201571,High,6718,60,24,Pre-Legal,R03
A10735,C0603,Telecom,266027,394606,High,5465,60,12,Pre-Legal,R02
A10736,C0603,Credit Card,201161,21654,Low,7842,120,24,Legal,R01
A10737,C0604,Personal Loan,298796,128114,Low,5975,120,60,Pre-Legal,R02
A10738,C0604,Telecom,44395,148407,Low,15472,180,48,Pre-Legal,R01
A10739,C0605,Credit Card,378315,135423,High,12229,120,36,Pre-Legal,R03
A10740,C0606,Telecom,105237,282913,High,14163,60,48,Charged-Off,R01
A10741,C0606,Credit Card,41536,223963,High,18120,120,48,Pre-Legal,R01
A10742,C0607,Credit Card,388065,337142,Medium,20599,180,12,Legal,R02
A10743,C0608,Personal Loan,51828,83040,Medium,6506,30,48,Pre-Legal,R02
A10744,C0609,Personal Loan,239589,211354,Low,10746,30,60,Legal,R03
A10745,C0610,Credit Card,420623,48542,Low,16811,240,24,Charged-Off,R01
A10746,C0610,Personal Loan,39283,343614,Medium,14516,180,36,Pre-Legal,R01
A10747,C0611,Telecom,461924,320758,High,13982,240,24,Legal,R01
A10748,C0612,Credit Card,379830,190210,High,15989,30,24,Legal,R01
A10749,C0613,Credit Card,114978,321701,High,13267,60,36,Pre-Legal,R01
A10750,C0613,Credit Card,251296,355907,Medium,6798,30,36,Pre-Legal,R03
A10751,C0614,Credit Card,74918,421817,Medium,1438,120,36,Legal,R03
A10752,C0614,Credit Card,394255,318874,High,6450,60,24,Pre-Legal,R02
A10753,C0615,Personal Loan,485718,122437,High,23380,60,36,Pre-Legal,R02
A10754,C0615,Credit Card,341954,390233,Low,22118,240,24,Legal,R03
A10755,C0616,Telecom,215552,326173,Medium,4466,60,36,Pre-Legal,R03
A10756,C0616,Telecom,128119,377301,Medium,22332,120,24,Pre-Legal,R01
A10757,C0617,Credit Card,279554,427156,Low,5780,120,24,Pre-Legal,R01
A10758,C0618,Credit Card,435732,418689,High,6469,180,60,Pre-Legal,R02
A10759,C0619,Credit Card,414079,31148,Low,18309,240,24,Pre-Legal,R02
A10760,C0619,Personal Loan,378528,183276,High,3539,30,48,Pre-Legal,R03
A10761,C0620,Credit Card,377705,69391,High,3453,180,36,Legal,R03
A10762,C0620,Personal Loan,404224,288298,Medium,23493,240,36,Charged-Off,R01
A10763,C0621,Personal Loan,246325,316635,Medium,18132,30,36,Pre-Legal,R02
A10764,C0622,Personal Loan,243112,226588,Medium,16511,120,60,Pre-Legal,R03
A10765,C0622,Personal Loan,305433,48087,Low,4100,180,12,Pre-Legal,R03
A10766,C0623,Personal Loan,315194,112799,Low,14530,120,24,Legal,R02
A10767,C0624,Personal Loan,283437,430659,High,19095,120,60,Pre-Legal,R02
A10768,C0625,Credit Card,117847,118742,Low,11356,120,60,Pre-Legal,R02
A10769,C0626,Personal Loan,303527,257046,Low,10225,120,60,Pre-Legal,R01
A10770,C0627,Telecom,478070,143544,High,22940,60,12,Pre-Legal,R01
A10771,C0627,Credit Card,312428,166243,High,23987,180,60,Pre-Legal,R02
A10772,C0628,Personal Loan,396556,368884,Medium,21736,30,60,Charged-Off,R03
A10773,C0628,Credit Card,237715,62728,Medium,9645,240,36,Legal,R02
A10774,C0629,Personal Loan,475342,86641,Low,3249,30,24,Pre-Legal,R03
A10775,C0630,Personal Loan,312155,348296,Low,23985,60,60,Charged-Off,R01
A10776,C0631,Personal Loan,483675,185307,High,23321,120,24,Charged-Off,R02
A10777,C0632,Credit Card,332655,95664,Low,5746,120,12,Pre-Legal,R01
A10778,C0632,Credit Card,111070,73168,Medium,5428,180,60,Pre-Legal,R01
A10779,C0633,Credit Card,341901,283803,Medium,21407,240,12,Pre-Legal,R02
A10780,C0634,Personal Loan,306812,354403,Low,7677,60,24,Legal,R02
A10781,C0635,Credit Card,342452,215798,High,1630,30,12,Legal,R01
A10782,C0635,Personal Loan,39158,308231,Medium,20374,60,48,Pre-Legal,R02
A10783,C0636,Credit Card,195725,359162,High,21181,60,60,Legal,R02
A10784,C0636,Credit Card,231470,449448,Medium,20838,30,60,Charged-Off,R02
A10785,C0637,Personal Loan,65950,201795,Low,22087,60,48,Legal,R02
A10786,C0638,Personal Loan,120245,112069,Medium,24408,120,60,Pre-Legal,R01
A10787,C0639,Telecom,306801,282800,High,16264,30,48,Pre-Legal,R03
A10788,C0640,Telecom,232916,479604,Medium,4770,180,48,Pre-Legal,R03
A10789,C0641,Credit Card,48390,154489,High,11372,60,36,Charged-Off,R03
A10790,C0642,Telecom,169151,425554,High,15004,30,24,Legal,R01
A10791,C0643,Personal Loan,330113,63838,Medium,1525,180,24,Pre-Legal,R02
A10792,C0644,Credit Card,235547,258603,Low,2235,120,24,Legal,R01
A10793,C0644,Credit Card,491358,309887,High,10608,240,48,Pre-Legal,R01
A10794,C0645,Credit Card,397250,174429,Medium,18755,30,24,Pre-Legal,R03
A10795,C0645,Personal Loan,237815,326095,Low,13940,180,48,Charged-Off,R01
A10796,C0646,Telecom,46520,260195,Low,5811,60,12,Pre-Legal,R02
A10797,C0647,Personal Loan,468034,243470,Medium,8677,240,48,Pre-Legal,R02
A10798,C0648,Telecom,489171,103075,Medium,13335,60,48,Pre-Legal,R03
A10799,C0649,Telecom,175232,404168,Medium,17584,240,60,Charged-Off,R01
A10800,C0650,Personal Loan,293417,135484,Medium,8394,60,36,Legal,R03
A10801,C0651,Telecom,134441,477552,Low,10467,60,48,Pre-Legal,R02
A10802,C0652,Credit Card,485867,144401,Medium,13568,60,12,Pre-Legal,R01
A10803,C0653,Credit Card,317399,208201,Medium,13847,180,48,Legal,R03
A10804,C0653,Credit Card,73629,130296,Medium,9957,180,60,Pre-Legal,R01
A10805,C0654,Personal Loan,398274,180493,Medium,17165,60,36,Pre-Legal,R03
A10806,C0654,Personal Loan,181466,160468,Low,17669,120,48,Pre-Legal,R03
A10807,C0655,Credit Card,260014,207206,High,1033,60,24,Pre-Legal,R03
A10808,C0656,Credit Card,227586,198321,Low,9912,60,48,Legal,R02
A10809,C0657,Credit Card,476497,264240,Medium,22568,180,48,Legal,R02
A10810,C0658,Credit Card,391969,130637,High,1873,120,60,Pre-Legal,R02
A10811,C0659,Credit Card,289981,222780,Low,23208,60,36,Pre-Legal,R01
A10812,C0659,Credit Card,444020,80206,Medium,20905,60,36,Legal,R03
A10813,C0660,Telecom,403094,465909,Medium,21521,30,48,Charged-Off,R01
A10814,C0660,Credit Card,239343,91620,Medium,17568,120,60,Pre-Legal,R01
A10815,C0661,Credit Card,207381,211475,Low,21329,60,60,Legal,R01
A10816,C0662,Credit Card,182550,434655,Medium,18802,120,24,Pre-Legal,R03
A10817,C0663,Personal Loan,78906,353781,High,9241,60,60,Legal,R03
A10818,C0664,Personal Loan,268505,26957,Low,15490,30,12,Pre-Legal,R03
A10819,C0665,Credit Card,270186,221604,Medium,21254,30,36,Legal,R01
A10820,C0666,Telecom,174805,272282,Low,4475,120,36,Charged-Off,R03
A10821,C0667,Personal Loan,48830,387220,Low,17901,120,48,Legal,R03
A10822,C0668,Personal Loan,412963,17056,Medium,12676,180,48,Pre-Legal,R03
A10823,C0669,Credit Card,109432,305299,High,18320,120,12,Pre-Legal,R03
A10824,C0670,Personal Loan,285205,121393,Medium,6827,60,24,Pre-Legal,R03
A10825,C0670,Credit Card,227940,183904,Low,1222,120,36,Pre-Legal,R03
A10826,C0671,Credit Card,483070,202160,High,7898,180,12,Pre-Legal,R02
A10827,C0672,Credit Card,174125,271624,Low,18184,30,24,Pre-Legal,R02
A10828,C0673,Credit Card,300567,391756,Medium,4434,180,48,Legal,R01
A10829,C0674,Credit Card,461889,100997,High,8304,120,60,Charged-Off,R02
A10830,C0675,Personal Loan,398729,430351,Low,18581,30,12,Pre-Legal,R02
A10831,C0675,Personal Loan,78914,172381,Low,10043,180,24,Pre-Legal,R03
A10832,C0676,Credit Card,420876,41245,Medium,14391,180,36,Pre-Legal,R02
A10833,C0677,Personal Loan,327157,252275,High,13551,180,24,Pre-Legal,R03
A10834,C0678,Telecom,356091,24586,High,23555,60,12,Legal,R02
A10835,C0679,Personal Loan,53282,91519,Low,10529,60,24,Pre-Legal,R01
A10836,C0679,Credit Card,135792,232850,Low,2916,120,24,Legal,R01
A10837,C0680,Telecom,75535,388096,Medium,14710,180,24,Legal,R02
A10838,C0681,Credit Card,241538,206958,Medium,14805,240,24,Pre-Legal,R02
A10839,C0682,Telecom,440548,197506,Low,15865,120,12,Pre-Legal,R01
A10840,C0683,Personal Loan,210375,80197,Medium,13751,60,12,Pre-Legal,R03
A10841,C0684,Personal Loan,422576,375372,Medium,16493,120,24,Pre-Legal,R01
A10842,C0685,Credit Card,258148,24012,Medium,14759,120,48,Pre-Legal,R03
A10843,C0686,Credit Card,243302,193448,Medium,22288,180,36,Pre-Legal,R02
A10844,C0687,Telecom,499894,187022,Medium,24297,180,48,Pre-Legal,R01
A10845,C0688,Personal Loan,20050,414806,High,17478,120,24,Pre-Legal,R01
A10846,C0689,Personal Loan,139558,317944,Low,24937,180,36,Pre-Legal,R03
A10847,C0690,Credit Card,360496,429380,High,2733,180,36,Pre-Legal,R02
A10848,C0691,Personal Loan,488084,15615,Medium,18450,60,60,Pre-Legal,R03
A10849,C0692,Telecom,390736,28317,Medium,22889,120,12,Pre-Legal,R01
A10850,C0692,Telecom,266765,175441,Low,16423,60,24,Pre-Legal,R01
A10851,C0693,Personal Loan,488735,246979,Medium,13967,240,24,Charged-Off,R01
A10852,C0694,Telecom,477486,110698,Medium,6530,180,12,Charged-Off,R03
A10853,C0695,Credit Card,243023,423605,Low,12770,120,12,Pre-Legal,R03
A10854,C0695,Credit Card,365445,151974,Low,2001,120,24,Pre-Legal,R01
A10855,C0696,Credit Card,276551,377839,High,12574,120,36,Legal,R01
A10856,C0697,Credit Card,292859,430019,Medium,2408,120,48,Legal,R02
A10857,C0698,Personal Loan,196225,148485,Medium,23055,240,12,Pre-Legal,R02
A10858,C0699,Personal Loan,392029,244394,Low,16868,120,48,Charged-Off,R03
A10859,C0700,Personal Loan,435099,375962,High,11133,60,24,Legal,R03
A10860,C0701,Personal Loan,62616,351473,High,1703,120,48,Pre-Legal,R02
A10861,C0702,Credit Card,453370,136822,Medium,17433,240,60,Legal,R02
A10862,C0702,Personal Loan,108116,134233,Low,14369,60,48,Pre-Legal,R01
A10863,C0703,Telecom,145662,451401,Low,10639,180,36,Legal,R02
A10864,C0704,Telecom,494296,362694,High,19852,180,48,Pre-Legal,R01
A10865,C0705,Personal Loan,337319,193810,Medium,13881,180,60,Pre-Legal,R01
A10866,C0706,Personal Loan,293072,325569,Medium,21081,240,60,Pre-Legal,R01
A10867,C0707,Credit Card,395926,124398,Medium,19873,120,12,Pre-Legal,R02
A10868,C0708,Credit Card,392908,476535,High,12340,120,48,Pre-Legal,R02
A10869,C0708,Telecom,450802,67243,Low,13275,180,48,Legal,R01
A10870,C0709,Credit Card,25833,431602,High,1537,30,48,Charged-Off,R03
A10871,C0710,Telecom,26732,332241,Low,14390,240,24,Pre-Legal,R02
A10872,C0711,Telecom,232810,297072,Low,17275,180,60,Legal,R02
A10873,C0712,Telecom,309400,21125,High,16675,60,48,Charged-Off,R02
A10874,C0713,Personal Loan,116102,279813,Medium,13438,30,48,Pre-Legal,R02
A10875,C0713,Credit Card,247894,27873,Low,23961,60,12,Pre-Legal,R01
A10876,C0714,Credit Card,186033,189079,Medium,21239,60,48,Charged-Off,R02
A10877,C0714,Telecom,438692,224483,Medium,1794,180,24,Legal,R01
A10878,C0715,Credit Card,301466,230618,Medium,9741,60,48,Pre-Legal,R03
A10879,C0715,Credit Card,92468,422464,Medium,18701,60,48,Legal,R01
A10880,C0716,Personal Loan,373413,224066,Medium,21115,120,12,Pre-Legal,R01
A10881,C0717,Personal Loan,496387,149942,High,9717,120,48,Pre-Legal,R02
A10882,C0718,Personal Loan,364462,176101,Low,19694,60,24,Charged-Off,R02
A10883,C0719,Credit Card,320877,60389,High,24654,30,60,Pre-Legal,R02
A10884,C0720,Credit Card,102455,389684,Medium,11319,60,48,Pre-Legal,R03
A10885,C0721,Personal Loan,122528,61526,Low,3366,240,60,Pre-Legal,R02
A10886,C0722,Credit Card,222007,135384,Medium,7936,120,48,Legal,R03
A10887,C0723,Personal Loan,285129,338938,Low,7996,120,48,Pre-Legal,R02
A10888,C0724,Telecom,458292,214933,Medium,3643,120,24,Pre-Legal,R01
A10889,C0725,Telecom,59916,76330,High,3168,120,60,Pre-Legal,R03
A10890,C0725,Telecom,143546,402150,Medium,8149,240,12,Pre-Legal,R01
A10891,C0726,Telecom,435915,194044,Medium,5913,60,24,Pre-Legal,R02
A10892,C0726,Credit Card,378451,369318,Low,22115,60,36,Pre-Legal,R01
A10893,C0727,Personal Loan,36057,16310,Low,15965,120,36,Legal,R01
A10894,C0727,Telecom,53149,390735,Medium,13062,120,60,Pre-Legal,R02
A10895,C0728,Personal Loan,208327,63281,High,1744,30,12,Charged-Off,R02
A10896,C0729,Credit Card,273130,253408,Medium,7327,180,12,Legal,R03
A10897,C0729,Personal Loan,497826,219482,Low,4522,120,48,Pre-Legal,R01
A10898,C0730,Credit Card,156243,155661,High,7210,240,48,Legal,R01
A10899,C0731,Personal Loan,430761,109449,Medium,1478,240,12,Legal,R01
A10900,C0731,Telecom,462505,466313,High,14991,60,12,Pre-Legal,R03
A10901,C0732,Credit Card,296051,36637,Medium,3089,30,24,Pre-Legal,R01
A10902,C0733,Credit Card,100459,207176,Low,19910,30,12,Pre-Legal,R01
A10903,C0734,Credit Card,446095,162215,Medium,15226,180,36,Pre-Legal,R02
A10904,C0735,Telecom,119830,252285,High,18386,30,36,Pre-Legal,R02
A10905,C0735,Personal Loan,56894,356762,Medium,9502,180,48,Charged-Off,R02
A10906,C0736,Credit Card,400360,297414,Medium,14198,60,24,Legal,R01
A10907,C0737,Credit Card,426516,403044,Medium,13511,60,60,Charged-Off,R01
A10908,C0737,Credit Card,62738,257368,Low,22054,30,24,Pre-Legal,R01
A10909,C0738,Telecom,318358,204007,Medium,19453,120,12,Legal,R03
A10910,C0739,Personal Loan,319741,98905,Medium,21975,30,48,Pre-Legal,R01
A10911,C0740,Personal Loan,144535,286602,Low,10986,60,24,Pre-Legal,R01
A10912,C0741,Personal Loan,448761,325499,Medium,20377,120,12,Legal,R02
A10913,C0742,Personal Loan,148658,35967,Low,24756,60,24,Charged-Off,R01
A10914,C0743,Credit Card,150145,410722,Medium,12572,180,48,Pre-Legal,R03
A10915,C0743,Personal Loan,341375,298696,Medium,7493,120,24,Pre-Legal,R03
A10916,C0744,Credit Card,258350,109328,Medium,9464,240,36,Pre-Legal,R03
A10917,C0744,Personal Loan,322508,392371,High,20167,60,60,Legal,R02
A10918,C0745,Personal Loan,480662,310644,Medium,5109,30,24,Legal,R02
A10919,C0746,Telecom,350433,46941,Medium,10136,60,24,Pre-Legal,R02
A10920,C0747,Personal Loan,498224,74834,High,5039,30,36,Legal,R02
A10921,C0748,Credit Card,283013,339768,High,4159,30,24,Legal,R03
A10922,C0749,Credit Card,111150,465587,Medium,16746,120,48,Pre-Legal,R03
A10923,C0750,Telecom,243410,141560,High,18189,60,60,Legal,R01
A10924,C0750,Telecom,398625,402320,Low,10862,180,12,Legal,R03
A10925,C0751,Personal Loan,220506,228827,High,14309,180,60,Pre-Legal,R02
A10926,C0752,Credit Card,109831,92400,High,18555,120,12,Pre-Legal,R02
A10927,C0753,Personal Loan,71884,91497,High,3854,60,60,Legal,R03
A10928,C0754,Credit Card,390719,328062,Medium,2970,120,60,Pre-Legal,R03
A10929,C0754,Personal Loan,359594,95543,Medium,21883,240,60,Pre-Legal,R03
A10930,C0755,Personal Loan,310832,63017,Medium,14467,30,24,Pre-Legal,R02
A10931,C0755,Personal Loan,174014,256147,Medium,24765,120,60,Pre-Legal,R02
A10932,C0756,Telecom,414823,145654,Low,24037,180,36,Legal,R02
A10933,C0757,Personal Loan,60693,373591,Medium,4666,60,24,Pre-Legal,R01
A10934,C0758,Credit Card,162512,303389,Low,2056,240,36,Pre-Legal,R03
A10935,C0758,Personal Loan,329571,348983,Low,18997,120,36,Legal,R03
A10936,C0759,Personal Loan,274482,83908,Low,2442,30,36,Pre-Legal,R03
A10937,C0760,Telecom,287587,407414,High,6077,30,24,Legal,R03
A10938,C0760,Telecom,363929,141691,Low,1903,60,60,Pre-Legal,R01
A10939,C0761,Credit Card,417094,148021,Low,21381,60,60,Legal,R02
A10940,C0762,Credit Card,303343,277081,High,2220,60,36,Legal,R03
A10941,C0763,Telecom,250273,462543,Low,8773,180,12,Pre-Legal,R01
A10942,C0763,Credit Card,343436,352563,Low,22717,30,60,Legal,R01
A10943,C0764,Credit Card,419046,176680,Low,15019,60,36,Pre-Legal,R03
A10944,C0765,Credit Card,227547,351506,Medium,24859,120,48,Pre-Legal,R01
A10945,C0766,Credit Card,492913,112357,Low,16180,60,12,Pre-Legal,R03
A10946,C0767,Telecom,270690,50133,High,11730,180,12,Pre-Legal,R02
A10947,C0768,Credit Card,281882,231585,High,793,120,12,Charged-Off,R03
A10948,C0769,Credit Card,462654,45996,Medium,9141,60,36,Pre-Legal,R01
A10949,C0770,Telecom,281387,76915,Medium,11028,30,12,Pre-Legal,R02
A10950,C0771,Credit Card,194953,77399,Medium,15482,60,24,Legal,R03
A10951,C0772,Personal Loan,462037,112812,High,12747,120,60,Legal,R02
A10952,C0773,Credit Card,332458,191796,Low,7459,120,48,Legal,R02
A10953,C0774,Personal Loan,402945,161509,High,11347,180,12,Pre-Legal,R01
A10954,C0775,Personal Loan,415195,402740,Medium,2826,30,36,Pre-Legal,R02
A10955,C0776,Personal Loan,214473,439393,High,3029,60,12,Legal,R01
A10956,C0777,Credit Card,104738,172517,Low,1695,120,24,Pre-Legal,R01
A10957,C0778,Telecom,62113,261602,Medium,22805,180,24,Pre-Legal,R02
A10958,C0779,Personal Loan,369084,479495,Low,11917,180,12,Pre-Legal,R02
A10959,C0780,Personal Loan,359425,414034,Medium,881,60,60,Pre-Legal,R03
A10960,C0780,Personal Loan,379648,130594,Medium,17546,180,24,Pre-Legal,R03
A10961,C0781,Personal Loan,224957,136103,Low,18210,180,60,Pre-Legal,R03
A10962,C0781,Credit Card,45223,468882,High,1875,120,60,Pre-Legal,R02
A10963,C0782,Personal Loan,200703,209724,High,22641,120,12,Pre-Legal,R01
A10964,C0783,Credit Card,61965,374593,Low,11447,30,24,Legal,R03
A10965,C0784,Personal Loan,124134,373111,Medium,6311,60,60,Legal,R03
A10966,C0785,Credit Card,326405,216984,Medium,2077,120,48,Legal,R02
A10967,C0786,Credit Card,351572,238720,Low,11084,180,60,Pre-Legal,R02
A10968,C0787,Credit Card,419884,95880,High,4854,180,36,Pre-Legal,R01
A10969,C0787,Credit Card,206911,341867,High,17173,240,24,Pre-Legal,R02
A10970,C0788,Credit Card,94710,288496,Low,5492,180,12,Pre-Legal,R01
A10971,C0789,Personal Loan,109199,396339,Low,22255,120,24,Legal,R03
A10972,C0790,Credit Card,65310,98406,Medium,11538,60,60,Pre-Legal,R02
A10973,C0790,Credit Card,448487,219463,Low,23939,60,12,Pre-Legal,R02
A10974,C0791,Credit Card,231634,449412,High,9619,30,12,Legal,R01
A10975,C0791,Personal Loan,396823,457747,Low,9942,30,48,Pre-Legal,R01
A10976,C0792,Personal Loan,84557,87752,Medium,16266,240,12,Legal,R01
A10977,C0793,Telecom,212590,47400,Medium,15610,60,60,Legal,R01
A10978,C0794,Telecom,159118,19934,High,1854,240,60,Legal,R01
A10979,C0795,Credit Card,154114,284283,Medium,15262,180,60,Pre-Legal,R03
A10980,C0795,Personal Loan,214444,259956,High,17965,240,36,Pre-Legal,R03
A10981,C0796,Personal Loan,253470,233474,Low,24103,120,24,Pre-Legal,R02
A10982,C0797,Credit Card,323621,203059,Medium,22011,60,48,Pre-Legal,R01
A10983,C0798,Personal Loan,152316,82952,Medium,23052,240,24,Legal,R03
A10984,C0799,Credit Card,457951,118313,Low,9424,180,60,Legal,R01
A10985,C0800,Credit Card,417569,416048,Low,23451,30,12,Legal,R02
A10986,C0801,Credit Card,51280,139130,Medium,4505,180,60,Charged-Off,R03
A10987,C0802,Credit Card,331438,53769,Medium,5081,30,60,Pre-Legal,R03
A10988,C0803,Credit Card,290607,159408,Low,14492,120,36,Pre-Legal,R01
A10989,C0804,Telecom,439386,86908,Low,8062,60,60,Legal,R01
A10990,C0805,Credit Card,234982,365579,High,1758,180,36,Charged-Off,R01
A10991,C0806,Credit Card,282781,236224,High,21276,120,24,Pre-Legal,R03
A10992,C0807,Telecom,319623,224843,High,10644,60,36,Legal,R01
A10993,C0808,Credit Card,319386,418157,High,5559,180,36,Pre-Legal,R02
A10994,C0809,Credit Card,256109,125078,Low,17608,60,24,Legal,R03
A10995,C0810,Credit Card,178413,273432,Low,14070,30,36,Pre-Legal,R01
A10996,C0811,Credit Card,200100,371081,Medium,10749,60,24,Pre-Legal,R03
A10997,C0811,Personal Loan,68423,57873,Low,8306,60,60,Pre-Legal,R03
A10998,C0812,Telecom,435721,305432,Medium,20252,60,12,Pre-Legal,R03
A10999,C0812,Credit Card,263415,298161,Low,13217,120,60,Pre-Legal,R03
A11000,C0813,Personal Loan,210742,219205,Low,24886,120,24,Pre-Legal,R01
A11001,C0814,Credit Card,234072,139143,Medium,19132,60,36,Pre-Legal,R02
A11002,C0815,Credit Card,431676,106641,Medium,10094,180,36,Pre-Legal,R01
A11003,C0816,Personal Loan,204740,66645,Medium,4076,60,60,Pre-Legal,R03
A11004,C0817,Telecom,314676,127765,Medium,11563,240,24,Charged-Off,R01
A11005,C0818,Personal Loan,436428,196434,Low,14526,60,12,Pre-Legal,R01
A11006,C0819,Credit Card,380596,421321,High,19879,120,36,Pre-Legal,R02
A11007,C0820,Credit Card,391735,239215,High,5279,120,60,Pre-Legal,R01
A11008,C0821,Personal Loan,267387,160919,Medium,9627,120,36,Pre-Legal,R01
A11009,C0822,Personal Loan,76795,136729,Medium,3811,180,48,Pre-Legal,R03
A11010,C0822,Personal Loan,320374,126364,Low,21662,30,60,Legal,R01
A11011,C0823,Personal Loan,140848,458541,Medium,16361,30,36,Charged-Off,R02
A11012,C0824,Credit Card,139586,75964,Medium,12183,180,24,Pre-Legal,R03
A11013,C0825,Credit Card,474933,168552,Low,15163,180,60,Pre-Legal,R02
A11014,C0826,Personal Loan,350979,245882,Medium,17861,120,60,Pre-Legal,R03
A11015,C0827,Personal Loan,134090,89676,High,1067,30,36,Legal,R02
A11016,C0828,Personal Loan,415198,179936,High,20454,120,36,Legal,R01
A11017,C0829,Credit Card,133744,246745,Medium,17950,30,60,Pre-Legal,R01
A11018,C0830,Telecom,163262,439502,High,7391,60,60,Pre-Legal,R01
A11019,C0831,Credit Card,475987,328859,Medium,18137,60,24,Pre-Legal,R03
A11020,C0832,Credit Card,71052,37064,Low,22746,30,24,Pre-Legal,R02
A11021,C0832,Credit Card,70530,358243,Low,15297,60,60,Pre-Legal,R03
A11022,C0833,Personal Loan,266037,240942,Low,20801,120,48,Pre-Legal,R03
A11023,C0834,Credit Card,196950,414185,High,20700,180,36,Pre-Legal,R03
A11024,C0834,Credit Card,85560,414178,Medium,24516,60,36,Pre-Legal,R03
A11025,C0835,Telecom,459378,188762,Medium,14948,30,36,Pre-Legal,R03
A11026,C0836,Telecom,94990,185632,High,9203,30,36,Pre-Legal,R01
A11027,C0837,Credit Card,435435,412487,High,20284,180,48,Pre-Legal,R03
A11028,C0838,Personal Loan,21963,385425,High,5677,120,48,Legal,R02
A11029,C0839,Credit Card,275980,344112,Medium,8931,120,48,Legal,R03
A11030,C0839,Credit Card,144906,456932,High,915,30,48,Pre-Legal,R01
A11031,C0840,Personal Loan,196371,139790,Medium,16435,180,24,Pre-Legal,R03
A11032,C0840,Credit Card,282696,35140,Medium,16469,120,12,Charged-Off,R01
A11033,C0841,Personal Loan,317909,359750,Low,22413,30,36,Pre-Legal,R01
A11034,C0842,Personal Loan,29529,399308,Low,12649,30,24,Pre-Legal,R03
A11035,C0843,Telecom,199498,198239,Medium,4074,60,48,Legal,R01
A11036,C0844,Credit Card,428039,169582,High,4935,240,48,Legal,R01
A11037,C0845,Credit Card,193793,213300,Medium,14822,180,12,Pre-Legal,R02
A11038,C0846,Personal Loan,406545,365292,High,6002,60,36,Charged-Off,R03
A11039,C0847,Credit Card,315943,474993,High,22883,30,36,Charged-Off,R01
A11040,C0848,Personal Loan,403409,282041,Medium,20272,60,24,Pre-Legal,R02
A11041,C0849,Credit Card,374551,132952,Low,2751,180,24,Pre-Legal,R01
A11042,C0850,Personal Loan,93251,84353,Low,5100,60,36,Legal,R01
